timestamp ,open    ,high    ,low     ,close   ,adjusted close,volume    ,dividend amount
2019-11-12,144.2600,147.5700,142.9700,147.0700,147.0700      ,152390000 ,0.0000
2019-10-31,139.6600,145.6700,133.2200,143.3700,143.3700      ,549523400 ,0.0000
2019-09-30,136.6100,142.3700,134.5100,139.0300,139.0300      ,472544800 ,0.0000
2019-08-30,137.0000,140.9400,130.7800,137.8600,137.8600      ,584482000 ,0.4600
2019-07-31,136.6300,141.6800,134.6700,136.2700,135.8177      ,484079900 ,0.0000
2019-06-28,123.8500,138.4000,119.0100,133.9600,133.5154      ,508324300 ,0.0000
2019-05-31,130.5300,130.6500,123.0400,123.6800,123.2695      ,547218800 ,0.4600
2019-04-30,118.9500,131.3700,118.1000,130.6000,129.6865      ,433157700 ,0.0000
2019-03-29,112.8900,120.8200,108.8000,117.9400,117.1151      ,589095800 ,0.0000
2019-02-28,103.7750,113.2400,102.3500,112.0300,111.2464      ,469095900 ,0.4600
2019-01-31,99.5500 ,107.9000,97.2000 ,104.4300,103.2586      ,714212800 ,0.0000
2018-12-31,113.0000,113.4200,93.9600 ,101.5700,100.4306      ,944314600 ,0.0000
2018-11-30,107.0500,112.2409,99.3530 ,110.8900,109.6461      ,720228600 ,0.4600
2018-10-31,114.7500,116.1796,100.1100,106.8100,105.1576      ,927548000 ,0.0000
2018-09-28,110.8500,115.2900,107.2300,114.3700,112.6006      ,480255500 ,0.0000
2018-08-31,106.0300,112.7770,104.8400,112.3300,110.5922      ,456628100 ,0.4200
2018-07-31,98.1000 ,111.1500,98.0003 ,106.0800,104.0385      ,569352300 ,0.0000
2018-06-29,99.2800 ,102.6900,97.2600 ,98.6100 ,96.7123       ,602585200 ,0.0000
2018-05-31,93.2100 ,99.9900 ,92.4500 ,98.8400 ,96.9378       ,509417900 ,0.4200
2018-04-30,90.4584 ,97.9000 ,87.5100 ,93.5200 ,91.3244       ,668130700 ,0.0000
2018-03-29,93.9900 ,97.2400 ,87.0800 ,91.2700 ,89.1272       ,750754800 ,0.0000
